category,content
politics, UK Foreign Secretary Jack Straw has defended plans to end the European Union's arms embargo on China
sport," Chelsea manager Jose Mourinho expects the Champions League clash with Barcelona to be a fight to the finish.  Mourinho is relishing the first leg of the tie against his former club in the last 16 in the Nou Camp. He said: ""I wouldn't be surprised if nothing had been decided by the last minute of the return leg and the match had to go into extra time. ""I have to defend what is mine and the Champions League is mine at the moment. I'm the last manager to have won it."" Mourinho never coached Barcelona"
sport," Tennis star Kim Clijsters will make her return from a career-threatening injury at the Antwerp WTA event in February.  ""Kim had considered returning to action in Paris on 7 February"
entertainment, The guitarist with US rock band Korn has quit the music business
sport, Serena Williams has angrily rejected claims that she and sister Venus are a declining force in tennis.  The sisters ended last year without a Grand Slam title for the first time since 1998. But Serena denied their challenge was fading
politics, Euro MP Robert Kilroy-Silk has had a bucket of farm slurry thrown over him by a protester in Manchester.  The UK Independence Party member was arriving for a BBC radio show when the attacker emerged from behind a bush. Fellow guest Ruth Kelly MP was also hit by the slurry. Mr Kilroy-Silk said the man
sport," Katerina Thanou is confident she and fellow sprinter Kostas Kenteris will not be punished for missing drugs tests before the Athens Olympics.  The Greek pair appeared at a hearing on Saturday which will determine whether their provisional bans from athletics' ruling body the IAAF should stand. ""After five months we finally had the chance to give explanations. I am confident and optimistic"
politics, Nine overseas embassies and high commissions will close in an effort to save money
sport, World 5000m champion Eliud Kipchoge won the 9.2km race at the View From Great Edinburgh Cross Country.  The Kenyan
politics, At least three people from Scotland died in the tsunami disaster and a further three are on the missing list
sport, British and Irish Lions coach Clive Woodward says he is unlikely to select any players not involved in next year's RBS Six Nations Championship.  World Cup winners Lawrence Dallaglio
politics," The ""myth that ageing is a barrier"" to contributing to society needs to be ""exploded"""
sport, It was back to official duties last week in my role as an ambassador to London's 2012 Olympic bid. But I still managed to do all my marathon training.  All the sporting people on the capital's bid team think I'm mad to be taking part in the London Marathon. The bid chairman
politics, The memory Gordon Brown says keeps returning to him - the one that he says is burnt into him - is that of a 12 year-old girl
politics," Tony Blair says his personal standing in the eyes of voters will be ""an issue"" in the general election.  The prime minister said he was ""up for it"" as the country waits to go to the polls"
politics, New powers are needed to close disorderly pubs
entertainment," The BBC is to invest £9m in developing new comedy and entertainment programmes outside London.  The changes come as part of a shake-up of several departments to create shows that appeal to a wider range of people. Changes are also being made to teams in the factual and daytime departments outside London. Director of television Jana Bennett said the changes were about ""getting the best ideas on screen as efficiently and effectively as we can"". ""The new structure in each genre is designed to ensure that happens"
